series_name,series_lim,series_arguments,accel_name,accel_m_value,accel_additional_args,error_description,error_data,stack_id,events,computed_n,computed_series_value,computed_partial_sum,computed_partial_sum_deviation,computed_accel_value,computed_accel_value_deviation
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",11,2.7557319223985894e-07,2.7182818011463845,2.7312660577649694e-08,2.7182818284590446,4.440892098500626e-16
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",12,2.505210838544172e-08,2.718281826198493,2.260552189881082e-09,2.718281828459045,0.0
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",13,2.08767569878681e-09,2.7182818282861687,1.7287637987806193e-10,2.7182818284590455,4.440892098500626e-16
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",14,1.6059043836821616e-10,2.7182818284467594,1.2285727990501982e-11,2.7182818284590455,4.440892098500626e-16
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",15,1.1470745597729726e-11,2.71828182845823,8.149037000748649e-13,2.7182818284590455,4.440892098500626e-16
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",16,7.647163731819817e-13,2.718281828458995,5.0182080713057076e-14,2.718281828459045,0.0
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",17,4.779477332387386e-14,2.718281828459043,2.220446049250313e-15,2.718281828459045,0.0
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",18,2.811457254345521e-15,2.7182818284590455,4.440892098500626e-16,2.718281828459046,8.881784197001252e-16
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",19,1.5619206968586228e-16,2.7182818284590455,4.440892098500626e-16,2.7182818284590455,4.440892098500626e-16
ExpSeriesF64,2.718281828459045,{'x': 1.0},LevinAlgorithmF64,8,"{'remainder': 'RemainderType.v_type', 'useRecFormulas': 'True', 'beta': '0.0'}",,{},d49276b4-301f-43ac-801a-3c548984dc6c,"[EventTrialResult(event='slow_accel_method', data={'computed_index': 0, 'description': 'accel_value_deviation2.0995881784280357e-06\n is lesser than partial_sum_deviation1.718281828459045'}), EventTrialResult(event='divergent_accel_method', data={'computed_index': 12, 'description': 'accel_value_deviation0.0\nfrom a previous iteration 11\nis lesser than current accel_value_deviation4.440892098500626e-16'})]",20,8.220635246624331e-18,2.7182818284590455,4.440892098500626e-16,2.7182818284590455,4.440892098500626e-16
